,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€                
0,2019,1,Ciutat Vella,1,el Raval,1,32635
1,2019,1,Ciutat Vella,1,el Raval,2,28555
2,2019,1,Ciutat Vella,1,el Raval,3,29825
3,2019,1,Ciutat Vella,1,el Raval,4,34276
4,2019,1,Ciutat Vella,1,el Raval,5,27182
5,2019,1,Ciutat Vella,1,el Raval,6,32701
6,2019,1,Ciutat Vella,1,el Raval,7,31715
7,2019,1,Ciutat Vella,1,el Raval,8,27067
8,2019,1,Ciutat Vella,1,el Raval,9,30409
9,2019,1,Ciutat Vella,1,el Raval,10,28740
10,2019,1,Ciutat Vella,1,el Raval,11,26052
11,2019,1,Ciutat Vella,1,el Raval,12,30749
12,2019,1,Ciutat Vella,1,el Raval,13,35034
13,2019,1,Ciutat Vella,1,el Raval,14,31091
14,2019,1,Ciutat Vella,1,el Raval,15,32619
15,2019,1,Ciutat Vella,1,el Raval,16,34721
16,2019,1,Ciutat Vella,1,el Raval,17,31997
17,2019,1,Ciutat Vella,1,el Raval,18,31472
18,2019,1,Ciutat Vella,1,el Raval,19,30211
19,2019,1,Ciutat Vella,1,el Raval,20,43452
20,2019,1,Ciutat Vella,1,el Raval,21,37487
21,2019,1,Ciutat Vella,2,el Gòtic,22,49085
22,2019,1,Ciutat Vella,2,el Gòtic,23,41560
23,2019,1,Ciutat Vella,2,el Gòtic,25,37638
24,2019,1,Ciutat Vella,2,el Gòtic,26,40613
25,2019,1,Ciutat Vella,2,el Gòtic,27,35635
26,2019,1,Ciutat Vella,2,el Gòtic,28,35924
27,2019,1,Ciutat Vella,2,el Gòtic,29,31995
28,2019,1,Ciutat Vella,2,el Gòtic,30,35300
29,2019,1,Ciutat Vella,2,el Gòtic,31,34389
30,2019,1,Ciutat Vella,3,la Barceloneta,32,35213
31,2019,1,Ciutat Vella,3,la Barceloneta,33,30472
32,2019,1,Ciutat Vella,3,la Barceloneta,34,29003
33,2019,1,Ciutat Vella,3,la Barceloneta,35,29463
34,2019,1,Ciutat Vella,3,la Barceloneta,36,37765
35,2019,1,Ciutat Vella,3,la Barceloneta,37,36368
36,2019,1,Ciutat Vella,3,la Barceloneta,38,29734
37,2019,1,Ciutat Vella,3,la Barceloneta,39,34025
38,2019,1,Ciutat Vella,3,la Barceloneta,40,33746
39,2019,1,Ciutat Vella,3,la Barceloneta,41,28177
40,2019,1,Ciutat Vella,3,la Barceloneta,42,35735
41,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,48640
42,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,46029
43,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,35387
44,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,36400
45,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,32864
46,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,27281
47,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,44742
48,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,36705
49,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,30786
50,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,56350
51,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,29381
52,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,32921
53,2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,46887
54,2019,2,Eixample,5,el Fort Pienc,1,53658
55,2019,2,Eixample,5,el Fort Pienc,2,51562
56,2019,2,Eixample,5,el Fort Pienc,3,55820
57,2019,2,Eixample,5,el Fort Pienc,4,48623
58,2019,2,Eixample,5,el Fort Pienc,5,56824
59,2019,2,Eixample,5,el Fort Pienc,6,61106
60,2019,2,Eixample,5,el Fort Pienc,7,58575
61,2019,2,Eixample,5,el Fort Pienc,8,59505
62,2019,2,Eixample,5,el Fort Pienc,9,58114
63,2019,2,Eixample,5,el Fort Pienc,10,53725
64,2019,2,Eixample,5,el Fort Pienc,11,53102
65,2019,2,Eixample,5,el Fort Pienc,12,44444
66,2019,2,Eixample,5,el Fort Pienc,13,41670
67,2019,2,Eixample,5,el Fort Pienc,14,42650
68,2019,2,Eixample,5,el Fort Pienc,15,44373
69,2019,2,Eixample,5,el Fort Pienc,16,57353
70,2019,2,Eixample,5,el Fort Pienc,17,61324
71,2019,2,Eixample,5,el Fort Pienc,18,59282
72,2019,2,Eixample,5,el Fort Pienc,19,51788
73,2019,2,Eixample,5,el Fort Pienc,20,44425
74,2019,2,Eixample,6,la Sagrada Família,21,49609
75,2019,2,Eixample,6,la Sagrada Família,22,52605
76,2019,2,Eixample,6,la Sagrada Família,23,49000
77,2019,2,Eixample,6,la Sagrada Família,24,47621
78,2019,2,Eixample,6,la Sagrada Família,25,43990
79,2019,2,Eixample,6,la Sagrada Família,26,52048
80,2019,2,Eixample,6,la Sagrada Família,27,52274
81,2019,2,Eixample,6,la Sagrada Família,28,51312
82,2019,2,Eixample,6,la Sagrada Família,29,49895
83,2019,2,Eixample,6,la Sagrada Família,30,39500
84,2019,2,Eixample,6,la Sagrada Família,31,56776
85,2019,2,Eixample,6,la Sagrada Família,32,52219
86,2019,2,Eixample,6,la Sagrada Família,33,48236
87,2019,2,Eixample,6,la Sagrada Família,34,42681
88,2019,2,Eixample,6,la Sagrada Família,35,53358
89,2019,2,Eixample,6,la Sagrada Família,36,57141
90,2019,2,Eixample,6,la Sagrada Família,37,59011
91,2019,2,Eixample,6,la Sagrada Família,38,58293
92,2019,2,Eixample,6,la Sagrada Família,39,49788
93,2019,2,Eixample,6,la Sagrada Família,40,43383
94,2019,2,Eixample,6,la Sagrada Família,41,47376
95,2019,2,Eixample,6,la Sagrada Família,42,59051
96,2019,2,Eixample,6,la Sagrada Família,43,57363
97,2019,2,Eixample,6,la Sagrada Família,44,46484
98,2019,2,Eixample,6,la Sagrada Família,45,58799
99,2019,2,Eixample,6,la Sagrada Família,46,47052
100,2019,2,Eixample,6,la Sagrada Família,47,52436
101,2019,2,Eixample,6,la Sagrada Família,48,50533
102,2019,2,Eixample,6,la Sagrada Família,49,45303
103,2019,2,Eixample,6,la Sagrada Família,50,46213
104,2019,2,Eixample,6,la Sagrada Família,51,44135
105,2019,2,Eixample,6,la Sagrada Família,52,49907
106,2019,2,Eixample,6,la Sagrada Família,53,50937
