Nom_Barri,Import_Renda_Bruta_€                
Baró de Viver,27700.5
Camp de l'Arpa del Clot,45628.76
Can Baró,44191.0
Can Peguera,27707.0
Canyelles,40959.8
Ciutat Meridiana,28175.333333333332
Diagonal Mar i el Front Marítim del Poblenou,61952.71428571428
Horta,46121.28571428572
Hostafrancs,44132.2
Montbau,42339.0
Navas,45738.692307692305
Pedralbes,111667.57142857143
Porta,37682.0
Provençals del Poblenou,46069.166666666664
Sant Andreu,48023.820512820515
Sant Antoni,50113.083333333336
Sant Genís dels Agudells,40295.6
Sant Gervasi - Galvany,100674.87096774194
Sant Gervasi - la Bonanova,101551.61111111111
Sant Martí de Provençals,42305.833333333336
"Sant Pere, Santa Caterina i la Ribera",38797.92307692308
Sants,48159.55172413793
Sants - Badal,43361.875
Sarrià,102194.5
Torre Baró,31089.0
Vallbona,29974.0
Vallcarca i els Penitents,62151.0
"Vallvidrera, el Tibidabo i les Planes",87219.66666666667
Verdun,30496.125
Vila de Gràcia,49877.333333333336
Vilapicina i la Torre Llobeta,43391.73684210526
el Baix Guinardó,48030.05263157895
el Besòs i el Maresme,33314.61538461538
el Bon Pastor,38321.57142857143
el Camp d'en Grassot i Gràcia Nova,54986.88
el Carmel,33681.09090909091
el Clot,47693.35294117647
el Coll,46448.2
el Congrés i els Indians,44631.11111111111
el Fort Pienc,52896.15
el Guinardó,46152.04
el Gòtic,38015.444444444445
el Parc i la Llacuna del Poblenou,49462.22222222222
el Poble Sec,37797.75
el Poblenou,52584.0
el Putget i Farró,70926.68421052632
el Raval,31809.04761904762
el Turó de la Peira,32670.8
l'Antiga Esquerra de l'Eixample,62655.5
la Barceloneta,32700.090909090908
la Bordeta,45161.46153846154
la Clota,43644.0
la Dreta de l'Eixample,71577.89655172414
la Font d'en Fargues,60145.71428571428
la Font de la Guatlla,45439.0
la Guineueta,43054.90909090909
la Marina de Port,39259.35294117647
la Marina del Prat Vermell,28417.0
la Maternitat i Sant Ramon,62386.333333333336
la Nova Esquerra de l'Eixample,57600.425
la Prosperitat,34740.4
la Sagrada Família,50553.08823529412
la Sagrera,44972.2
la Salut,57340.7
la Teixonera,36510.125
la Trinitat Nova,28529.8
la Trinitat Vella,31591.6
la Vall d'Hebron,50788.0
la Verneda i la Pau,39311.619047619046
la Vila Olímpica del Poblenou,84887.6
les Corts,68803.91428571429
les Roquetes,30806.1
les Tres Torres,121741.09090909091
